,OR,CI_low,CI_high,p_value,model
Intercept,0.03785683602106246,0.02981772968735972,0.048063351856501235,3.625769315621453e-159,demographic_adjusted_agecat
"C(pattern, Treatment(reference='low_low'))[T.transient_w6_only]",1.146671891418244,0.9465320763032284,1.3891303416826515,0.16196938915217762,demographic_adjusted_agecat
"C(pattern, Treatment(reference='low_low'))[T.emergent_w7_only]",1.2175772697819698,1.0056883070735467,1.4741092219751737,0.043579642252298184,demographic_adjusted_agecat
"C(pattern, Treatment(reference='low_low'))[T.persistent]",1.3639292960369185,1.1518638019912246,1.6150374040506021,0.00031854135714879094,demographic_adjusted_agecat
C(agecat_w6)[T.2],1.7027404035595408,1.4347135937983266,2.0208387893212203,1.1244927222207225e-09,demographic_adjusted_agecat
C(agecat_w6)[T.3],2.8826026925797867,2.3794853919344536,3.4920988846722576,2.827590072049755e-27,demographic_adjusted_agecat
C(agecat_w6)[T.4],2.7073376363129795,2.215085545276434,3.3089814940226323,2.3025082079326733e-22,demographic_adjusted_agecat
C(agecat_w6)[T.5],3.308778533657187,2.724250644150294,4.018725445949317,1.617790350911151e-33,demographic_adjusted_agecat
C(agecat_w6)[T.6],2.0532672781328727,1.6574744729471822,2.5435725160549856,4.5535075848494206e-11,demographic_adjusted_agecat
C(sex_w6)[T.2],0.9337131381520571,0.8321928702419846,1.047617992814881,0.24286474635414002,demographic_adjusted_agecat
C(edu_w6)[T.2],0.7884710039027364,0.6020043821121602,1.0326943498553498,0.08429661863517024,demographic_adjusted_agecat
C(edu_w6)[T.3],0.6761340831925616,0.555612555773905,0.822798717746538,9.337809539123794e-05,demographic_adjusted_agecat
C(edu_w6)[T.4],0.5408607906315539,0.44673609073034865,0.6548170181736266,2.970514897599467e-10,demographic_adjusted_agecat
C(edu_w6)[T.5],0.34363430465101646,0.27448142875472553,0.430209562332565,1.1912028986560578e-20,demographic_adjusted_agecat
C(income_w6)[T.2],1.2283927256334857,1.0079131285126384,1.4971019284330542,0.04154439215415715,demographic_adjusted_agecat
C(income_w6)[T.3],0.7818559611946826,0.64581239962307,0.9465577688078567,0.011632923894674704,demographic_adjusted_agecat
C(income_w6)[T.4],0.8865999068770266,0.7266167633742036,1.08180740453071,0.2358277575792349,demographic_adjusted_agecat
C(income_w6)[T.5],0.626808946425677,0.5008600387855432,0.7844296308244576,4.476005159314439e-05,demographic_adjusted_agecat
smoker_w6,112.41549190082759,100.13149206722909,126.20647668787646,0.0,demographic_adjusted_agecat
